timestamp,open,high,low,close,volume
2022-02-21 16:00:00,38780.0,39192.5,38728.5,38743.5,2609.123
2022-02-21 16:30:00,38743.5,38926.0,38618.0,38661.0,1418.425
2022-02-21 17:00:00,38661.0,38809.5,38610.0,38784.5,1368.805
2022-02-21 17:30:00,38784.5,38794.5,38451.0,38525.0,1613.811
2022-02-21 18:00:00,38525.0,38632.5,37534.5,37639.5,6234.541
2022-02-21 18:30:00,37639.5,38568.5,37546.5,37730.5,6411.734
2022-02-21 19:00:00,37730.5,38016.0,37547.0,37786.0,3377.507
2022-02-21 19:30:00,37786.0,38362.0,37699.0,38118.0,3767.797
2022-02-21 20:00:00,38118.0,38300.0,37930.5,38080.5,1645.963
2022-02-21 20:30:00,38080.5,38480.0,38023.0,38200.0,1839.293
2022-02-21 21:00:00,38200.0,38329.0,38072.5,38125.5,1243.64
2022-02-21 21:30:00,38125.5,38159.5,36922.5,37028.5,5116.476
2022-02-21 22:00:00,37028.5,37523.0,36751.0,37079.5,5536.221
2022-02-21 22:30:00,37079.5,37749.5,37079.5,37518.5,2854.351
2022-02-21 23:00:00,37518.5,37650.0,37062.5,37176.5,3661.386
2022-02-21 23:30:00,37176.5,37270.5,36825.0,37001.5,4464.032
2022-02-22 00:00:00,37001.5,37226.0,36850.0,37088.5,4236.401
2022-02-22 00:30:00,37088.5,37327.0,37080.0,37207.0,1864.956
2022-02-22 01:00:00,37207.0,37228.0,36880.0,36916.5,2011.923
2022-02-22 01:30:00,36916.5,37466.5,36888.0,37230.0,3091.678
2022-02-22 02:00:00,37230.0,37230.0,36900.0,36900.5,1887.293
2022-02-22 02:30:00,36900.5,37099.5,36892.0,37015.5,1603.341
2022-02-22 03:00:00,37015.5,37016.0,36312.5,36642.5,6220.217
2022-02-22 03:30:00,36642.5,36643.0,36426.5,36570.0,1814.872
2022-02-22 04:00:00,36570.0,36744.0,36540.0,36680.0,1937.078
2022-02-22 04:30:00,36680.0,36804.0,36592.0,36595.5,986.611
2022-02-22 05:00:00,36595.5,36858.5,36549.5,36849.5,1178.31
2022-02-22 05:30:00,36849.5,37250.0,36700.0,36724.5,3547.366
